X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-75.22512,40.031734,4745,3531012L,Bus,35,Loop,31012,Leverington Av & Silverwood St,40.031734,-75.22512,Fall 2023,1,1,1,0,0,0
-75.242652,40.072853,4746,2712415N,Bus,27,Northbound,12415,Ridge Av & Northwestern Av - MBNS,40.072853,-75.242652,Fall 2023,3,30,0,12,1,4
-75.229133,40.029724,4747,3531014L,Bus,35,Loop,31014,Leverington Av & Umbria St,40.029724,-75.229133,Fall 2023,0,0,0,1,1,0
-75.211318,40.017688,4748,2712319N,Bus,27,Northbound,12319,Ridge Av & Osborn St,40.017688,-75.211318,Fall 2023,2,15,2,3,0,2
-75.222587,40.025081,4749,3516038L,Bus,35,Loop,16038,Main St & Cotton St,40.025081,-75.222587,Fall 2023,0,3,1,2,0,0
-75.210296,40.016319,4750,2714995N,Bus,27,Northbound,14995,Ridge Av & Osborn St - MBNS,40.016319,-75.210296,Fall 2023,10,13,2,8,1,2
-75.222831,40.025081,4751,3516200L,Bus,35,Loop,16200,Main St & Cotton St,40.025081,-75.222831,Fall 2023,3,1,4,1,3,0
-75.206825,40.014984,4752,272N,Bus,27,Northbound,2,Ridge Av & Wissahickon Transfer Center,40.014984,-75.206825,Fall 2023,187,46,83,14,54,8
-75.213699,40.018184,4753,3530914L,Bus,35,Loop,30914,Main St & Dawson St,40.018184,-75.213699,Fall 2023,0,0,1,1,0,0
-75.249114,40.0778,4754,2730731N,Bus,27,Northbound,30731,Ridge Pk & Barren Hill Rd - MBNS,40.0778,-75.249114,Fall 2023,3,17,0,12,1,4
-75.226943,40.026855,4755,3516040L,Bus,35,Loop,16040,Main St &  Green Ln,40.026855,-75.226943,Fall 2023,1,1,1,2,1,4
-75.270004,40.089977,4756,2712372N,Bus,27,Northbound,12372,Ridge Pk & Birch Dr - FS,40.089977,-75.270004,Fall 2023,0,0,1,0,0,0
-75.22705,40.026782,4757,3518393L,Bus,35,Loop,18393,Main St & Green Ln - FS,40.026782,-75.22705,Fall 2023,4,0,3,1,2,1
-75.2723,40.090663,4758,2730734N,Bus,27,Northbound,30734,Ridge Pk & Birch Dr - MBFS,40.090663,-75.2723,Fall 2023,1,2,2,1,0,0
-75.213493,40.018077,4759,3516030L,Bus,35,Loop,16030,Main St & Haines St,40.018077,-75.213493,Fall 2023,0,0,1,0,0,0
-75.287117,40.09436,4760,2719045N,Bus,27,Northbound,19045,Ridge Pk & Butler Pk - FS,40.09436,-75.287117,Fall 2023,1,23,4,16,0,11
-75.21569,40.020114,4761,3516205L,Bus,35,Loop,16205,Main St & Hermit St,40.020114,-75.21569,Fall 2023,1,0,1,2,0,1
-75.285217,40.094009,4762,2730736N,Bus,27,Northbound,30736,Ridge Pk & Butler Pk - MBNS,40.094009,-75.285217,Fall 2023,0,14,1,10,1,5
-75.215446,40.020103,4763,3530907L,Bus,35,Loop,30907,Main St & Hermit St,40.020103,-75.215446,Fall 2023,1,0,0,0,0,0
-75.295616,40.095947,4764,2730462N,Bus,27,Northbound,30462,Ridge Pk & Chemical Rd,40.095947,-75.295616,Fall 2023,2,12,2,10,1,6
-75.219177,40.022968,4765,3516034L,Bus,35,Loop,16034,Main St & Jamestown St,40.022968,-75.219177,Fall 2023,0,0,0,0,0,0
-75.253013,40.081733,4766,27521N,Bus,27,Northbound,521,Ridge Pk & Church Rd,40.081733,-75.253013,Fall 2023,0,3,0,1,0,1
-75.219398,40.022994,4767,3516203L,Bus,35,Loop,16203,Main St & Jamestown St,40.022994,-75.219398,Fall 2023,1,1,2,0,1,0
-75.254386,40.083526,4768,2714999N,Bus,27,Northbound,14999,Ridge Pk & Crescent Av,40.083526,-75.254386,Fall 2023,1,12,3,7,0,3
-75.212364,40.016693,4769,3530915L,Bus,35,Loop,30915,Main St & Kalos St,40.016693,-75.212364,Fall 2023,0,0,0,0,0,0
-75.265449,40.088638,4770,2719044N,Bus,27,Northbound,19044,Ridge Pk & Joshua Rd,40.088638,-75.265449,Fall 2023,0,5,0,4,0,2
-75.224609,40.025905,4771,3516039L,Bus,35,Loop,16039,Main St & Levering St,40.025905,-75.224609,Fall 2023,1,2,0,2,2,1
-75.289566,40.094745,4772,2724009N,Bus,27,Northbound,24009,Ridge Pk & Little Av - MBNS,40.094745,-75.289566,Fall 2023,2,12,2,12,2,6
-75.224769,40.025859,4773,3530913L,Bus,35,Loop,30913,Main St & Levering St,40.025859,-75.224769,Fall 2023,2,3,2,2,1,2
-75.291465,40.095039,4774,2719046N,Bus,27,Northbound,19046,Ridge Pk & Lynda Rd,40.095039,-75.291465,Fall 2023,1,12,0,8,0,5
-75.220046,40.023647,4775,3516036L,Bus,35,Loop,16036,Main St & Pensdale St,40.023647,-75.220046,Fall 2023,0,1,1,0,0,0
-75.247108,40.076286,4776,2719043N,Bus,27,Northbound,19043,Ridge Pk & Manor Rd,40.076286,-75.247108,Fall 2023,0,5,3,3,0,5
-75.220268,40.023677,4777,3516202L,Bus,35,Loop,16202,Main St & Pensdale St,40.023677,-75.220268,Fall 2023,0,0,0,0,0,0
-75.262008,40.087673,4778,2727353N,Bus,27,Northbound,27353,Ridge Pk & Mulberry Ln,40.087673,-75.262008,Fall 2023,2,8,0,4,0,7
-75.22129,40.024566,4779,3516037L,Bus,35,Loop,16037,Main St & Rector St,40.024566,-75.22129,Fall 2023,0,1,0,1,0,2
